
Distancia,Perdida 1, Perdida 2, Perdida 3, Perdida 4
   0,    4.2120 ,   4.4364 ,    4.3760 ,   4.3531
  10,    4.0499 ,   4.3484 ,    4.0003 ,   4.2951
  20,    3.8028 ,   3.6019 ,    3.8573 ,   3.5495
  30,    3.4631 ,   3.1970 ,    3.4287 ,   3.3789
  40,    2.4965 ,   2.8376 ,    2.3895 ,   2.8259
  50,    1.8217 ,   1.9751 ,    2.1387 ,   1.8241
  60,    1.4297 ,   1.4482 ,    1.0157 ,   1.3191
  70,    0.6382 ,   0.7090 ,    0.8856 ,   0.6394
  80,    0.1897 ,   0.1277 ,    0.5385 ,   0.2289
  90,    0.2539 ,   0.3114 ,    0.0249 ,   0.3931
  100,   0.5489 ,   0.2362 ,    0.3936 ,   0.4822
  110,   0.6601 ,   0.7316 ,    0.9395 ,   0.6073
  120,   1.3478 ,   1.3625 ,    1.1607 ,   1.2912
  130,   1.9667 ,   1.9564 ,    2.0559 ,   1.8632
  140,   2.5725 ,   2.6415 ,    2.6480 ,   2.3933
  150,   3.2368 ,   3.2167 ,    3.3948 ,   3.0120
  160,   4.0069 ,   3.6542 ,    3.9317 ,   3.7777
  170,   3.9211 ,   4.0939 ,    3.9042 ,   4.0185
  180,   4.1399 ,   4.0051 ,    4.1416 ,   4.1699
  190,   4.1029 ,   4.1838 ,    4.2061 ,   4.0231
  200,   3.8259 ,   4.0111 ,    3.7769 ,   3.6175
  210,   3.4388 ,   3.0477 ,    3.4864 ,   3.1996
  220,   2.5818 ,   2.3651 ,    2.7215 ,   2.6961
  230,   1.8714 ,   2.0958 ,    1.9366 ,   1.7545
  240,   1.3731 ,   1.1235 ,    1.1495 ,   1.3332
  250,   0.7019 ,   0.4724 ,    0.5960 ,   0.6894
  260,   0.5510 ,   0.5281 ,    0.5639 ,   0.3373
  270,   0.2333 ,   0.0702 ,    0.2234 ,   0.0876
  280,   0.3697 ,   0.5605 ,    0.5286 ,   0.2172
  290,   0.7116 ,   0.5156 ,    0.5171 ,   0.7761
  300,   1.1147 ,   1.1763 ,    1.4298 ,   1.1345
  310,   1.6955 ,   1.9494 ,    1.6665 ,   1.9325
  320,   2.3810 ,   2.6399 ,    2.7969 ,   2.8197
  330,   3.4442 ,   3.3338 ,    3.4500 ,   3.3572
  340,   3.6487 ,   3.8561 ,    3.7941 ,   3.8717
  350,   4.3102 ,   4.0961 ,    3.9395 ,   4.3591
  360,   4.3559 ,   4.0699 ,    4.0889 ,   4.3877
